Date,Open,High,Low,Close,Adj Close,Volume
2023-03-16,2.409895,2.545294,2.357176,2.489873,2.489873,323239958
2023-03-17,2.490032,2.733516,2.449040,2.721904,2.721904,335451926
2023-03-18,2.723360,2.915380,2.604308,2.615549,2.615549,377864285
2023-03-19,2.615746,2.841910,2.615746,2.706421,2.706421,219792387
2023-03-20,2.706276,2.741118,2.475286,2.475286,2.475286,215924396
2023-03-21,2.475741,2.718299,2.422024,2.645379,2.645379,251637027
2023-03-22,2.645387,2.667431,2.445158,2.537547,2.537547,244338915
2023-03-23,2.536879,2.611525,2.432276,2.488820,2.488820,198090571
2023-03-24,2.488226,2.489291,2.198143,2.266247,2.266247,197491232
2023-03-25,2.266421,2.304157,2.145477,2.178531,2.178531,108150529
2023-03-26,2.178790,2.311224,2.164011,2.266159,2.266159,96377274
2023-03-27,2.265947,2.274074,2.025423,2.069757,2.069757,163782213
2023-03-28,2.069738,2.247039,2.025775,2.193241,2.193241,144846477
2023-03-29,2.192932,2.295147,2.182709,2.233513,2.233513,136436855
2023-03-30,2.233675,2.300600,2.157722,2.295830,2.295830,220450472
2023-03-31,2.297441,2.336040,2.225282,2.286609,2.286609,182815678
2023-04-01,2.286846,2.313079,2.243911,2.250733,2.250733,68944760
2023-04-02,2.277212,2.317443,2.167609,2.201012,2.201012,98688775
2023-04-03,2.201129,2.228164,2.108052,2.166477,2.166477,133185239
2023-04-04,2.166484,2.261585,2.130136,2.233775,2.233775,103439723
2023-04-05,2.233747,2.378404,2.226394,2.281364,2.281364,141424558
2023-04-06,2.281610,2.281610,2.193611,2.263478,2.263478,81948755
2023-04-07,2.263596,2.276845,2.227027,2.266164,2.266164,61009349
2023-04-08,2.266228,2.299335,2.226938,2.237572,2.237572,53800327
2023-04-09,2.237531,2.311292,2.210884,2.287701,2.287701,61241916
2023-04-10,2.287205,2.358088,2.226349,2.358088,2.358088,114912247
2023-04-11,2.359608,2.396444,2.289554,2.297825,2.297825,110482555
2023-04-12,2.297863,2.298259,2.191152,2.276155,2.276155,105201360
